File Name,Transcription,English_Translation
SandalWoodNewsStories_1_part1.wav,ವಣ ಬಸಯದಲಲ ಶರಗಧ ಕಷ ಅತ ಕಡಮ ನರ ಇರತಕಕಥವರ ಬಳಯಬಹದ ಅದರ ನಮಮ ಕಣಣ ಕಯಮರ ಕನಕಟ ಆಯತಪಪ ಅದರ ನಮಮ ಆಧರ ನಬರ ತತರಜಞನ ಸಕಷಟ ಡವಲಪ ಆಗತತ ಒದ ಕಲಮಟರ ಇವತತ ಕರನಟಕ ಸರಕರ ಕರನಟಕದಲಲ ಮಡತ ಇದ ಎರಡ ದ ರಟ ಆಫ  ಲಯಕ ರಪಸ ಫರ ಕಜಎಫ ನಮಗ ಗತತರಬಕ ಸಯಡಲವಡ ಕಮರಷಯಲ ನಮ ಸಯಡಲವಡ ಅತವ ಆಸಟರಲಯದವರ ಸಯಡಲವಡ ಅನನತತರ ಸಯಡಲವಡ ಬಟ ನಮಮ ಸಯಡಲ ವಡ ಏನದಯಲಲ ಅದ ಸಯಡಲ ಆಲಬಮ ಅತ ಆಸಟರಲಯದ ಸಯಡಲವಡ ಇದ ಅದ ಸಯಪಲಸ ಕರಕಟ ಬರ ಬರ ಭಗದಲಲ ಸಮರ ಹದನರ ಪರಜತಯ ಶರಗಧ ಇದ,sandalwood cultivation in wild farming can be grown by those who have very little water means your eye camera connect aythappa andre your aadhaar number technology will develop enough one kilometer today karnataka govt is doing in karnataka two the rate of  lac rupees for kgf we should know sandalwood commercial name sandalwood tv australians call it sandalwood sandalwood but what is our sandalwood it is sandalwood there is sandalwood from australia it is samples cricket there are about sixteen species of sandalwood in different parts
SandalWoodNewsStories_1_part2.wav,ವಚ ಇಸ ದ ಐಡಯಲ ಕಮಕಲ ಕಬನಷನ ಆಫ ಸಯಡಲವಡ ಅದರ ಜಗತತನಲಲ ಉತಕಷಟ ಮಟಟದ ಶರಗಧ ಎಲಲಯದರ ಸಗತತ ಅದರ ಅದ ನಮಮ ಕರನಟಕದಲಲ ಸಗತತ ಅದರ ಇಲಲ ಇರತಕಕತ ಭತಕ ಅಶಗಳ ಫಯಕಟರಸ ಲಕ ವಟರ ಅಡ ಕಲಮಟ ಭತಕ ಅಶಗಳನನ ಮಣಣ ನರ ಮತತ ಅವಗಳ ಜಗತತನಲಲ ಉತಕಷಟ ಮತತ ಶರಗಧ ಬಳಯಲಕಕ ಅದಭತವದ ಪರಕ ವತವರಣ ಈ ನಮಮ ಕನನಡ ನಡನಲಲದ ಹಗಗ ನಮಮ ಕನನಡ ನಡಗ ಕನನಡ ನಡ ಗಧದ ನಡ ಚದನದ ಬಡ ಅತ ನನನ ಮನ ಕರದಲಲ ಶತರ ಶತಮನದದ ಆದಕವ ರನನ ಪಪ ಹಳಗನನಡ,which is the ideal chemical combination of sandalwood the best level of sandalwood can be found anywhere in the world it can be found in our karnataka physical factors like water and climate for kannada land kannada land is the land of sandalwood the land of sandalwood the enemy did not come home yesterday
SandalWoodNewsStories_1_part3.wav,ಕನನಡ ನಡ ಗಧದ ನಡ ಚದನದ ಬಡ ಸವರ ವರಷದ ಹದ ಸವರರ ವರಷದದ ಅದರ ಅವರ ಜಞನ ಅದಭತ ಅತ ನವ ಅಕಷರ ಕಲತದದವ ತತರಜಞನ ಬಳದದ ಸಪರಕ ಸಧನಗಳರಲಲಲ ಇವಗ ಎಷಟ ಯವದ ತತರಜಞನ ಇರಲಲಲ ಆದರ ಜಗತತನಲಲ ಎಲಲದರ ಅದಭತವದ ಗಣಮಟಟದ ಶರಗಧ ಎಲಲಯದರ ಸಗತತದ ಅದರ ಅದ ಕನನಡ ನಡನಲಲ ಸಗತತ ಅತ ಕತ ಜಞನ ಅವರಗ ನಡ ನಮಮಲಲ ಬವ ಹಲ ಸರ ಬನನ ಆಲ ಅರಳ ಅದಬತವಗದ ಪರಸರ ಕಸರ ಕಡತತದ ಅತರಜಲ ವತತ ಮಡಲ ದಡಡ ಕಡಗ ಇದ ಆದರ ಇದದ ಕರಚಲ ಸಸಯ,kannada land sandalwood land sandalwood field thousands of years ago andres knowledge is amazing we have learned the alphabet technology has grown there were no communication devices now there was no technology but anywhere in the world sandalwood of amazing quality can be found anywhere that is it is available in kannada land banni ala blooms and it is wonderful
SandalWoodNewsStories_1_part4.wav,ಇದದ ಪರವಲಬ ಸಸಯ ಇದ ಇದ ರಕತಚದನ ಸಯಡಲವಡ ಇವಲಲ ಇದಲಲ ಪರವಲಬ ಸಸಯ ಡನಲಡ ಬಸಕಲ ಸಮ ರಟ ಪಯರಸಟ ಅತ ಹಳತವ ಇಟ ಇಸ ಬಸಕಲ ಪಯರಸಟಮಲ ಸಸಯ ಇಟ ಇಸ ಬಸಕಲ ಸಮಸಟರ ಸಸಯ ಆದರ ಅತ ದಡಡ ಮರಗಳ ಇದದರ ಕಡಲ ಆದರ ಕನನಡ ನಡ ಗಧದ ನಡ ಚದನದ ಬಡ ಅತ ಬಕಸ ಇಲಲ ಇರತಕಕತ ಜಗತತನಲಲ ಸಗದ ಇರತಕಕತ ಅದಭತವದ ಭತಕ ಮಣಣ ನರ ಮತತ ಅವಗಳ ಇಲಲ,this is a parasitic plant this is raktchandan sandalwood these are all these parasitic plants download do you want semiroot parasite soil water and their here
SandalWoodNewsStories_1_part5.wav,ಇಲಲ ಬರತಕಕತಹ ಉತಕಷಟ ಮಟಟದ ಶರಗಧ ಎಲಲಯ ಬರದಲಲ ನವ ಇತತಚಗ ನನ ನರರ ಎಕರ ಶರಗಧ ಬರತನ ಮತತ ಈಗ ನಮಮ ಭಗದಲಲ ಒದ  ಎಕರ ಇದ  ಬಗಗಸಟ ಸಯಡಲವಡ ಕಲಸಟರ ಕಪಪಳ ಡಸಟರಕಟ ಅದರ ಇಡಯ ಬಗಗಸಟ ಸಯಡಲವಡ ಕಲಸಟರ ಇದ ಸಮರ ಮರ ಜನ ಪರಫಸರ ಕರನಟಕದವರ ಆಧರದವರ ತಮಳನಡ ಇಲಲ ನನನ ಫರಮ ಪಎಚಡ ಮಡಕತತರ,we have recently planted hundreds of acres of sandalwood here and now we have  acres in our area
SandalWoodNewsStories_1_part6.wav,ಕಡ ನರಮಣ ಆಗತ ಇದ ನಮಮ ಭಗದ ಕಪಪಳ ಜಲಲ ಅದರ ಸಧರಣ ಅತ ತಳಕಡದದರ ಪರಸರ ಆಗತತ ಇಲಲ ಮಲಯವರಧನ ಆಗತತ ಇವತತ ಗಣಮಟಟದ ಶರಗಧದದ ಸಬನಗಳ ಕಸಮಟಕಸ ಪರಫಯಮಸ ಎಲಲ ಎಲಲ ಉತಪನನಗಳ ಇಲಲ ಉತಪದನಯಗತತದ ಇಡ ಜಗತತಗ ಮರಕಟಟ ಕಪಪಳ ಕಪಪಳ ಆಗತತದ ಅಷಟ ಶಕತ ಇದ ನವ ಜಗತತಗ ದಳಬಯನನ ರಫತ ಮಡ ಇಡ ಜಗತತಗ ಮಡದತ ಮಣಣದ ಇದ ಎಲಲ ನಡದಗ ಇದ ದಡಡ ದಡಡ ಯಶಗಥಗಳ ಹಗಗ ಇವತತ ಇಡ ಜಗತತಗ ಇವತತ  ಎಕರ ಇವತತ ನಮಮ ಕಪಪಳ ಜಲಲಯಲಲ ಆಗತ ಇದ  ಕಟ ಕಚಚ ಪದರಥ ಮದನ ದನದಲಲ ಕಡಬಲಲವನ ಆ ಶಕತ ನಮಮ ಈ ನಲಕಕ  ಕಟ ಪರಡಕಟ,koppal district of our part is under construction do you understand that it is broadcasted value addition is done here today quality sandalwood soaps cosmetics perfumes all products are produced here big success stories are behind us today for the whole world today  acres are growing in our koppal district  crores of raw material in the next day the one who can give that power  crores product for this land of ours
SandalWoodNewsStories_1_part7.wav,ಆಮಲ ಕಟ ಕಟ ಅದರಲಲ ಆರಥಕ ಬದಕದ ಆರಥಕ ಬದಕದ ಆರಥಕ ಬದಕ ನಮಮ ಒದ ಸವಭಮನದ ಬದಕ ಒದ ಸದಢ ಬದಕ ಒದ ಗಣಮಟಟದ ಬದಕಗ ಬಕ ಆ ವಸತವ ಪರಜಞ ನಮಗ ಇರಬಕ ಆದರ ಇವತತ ಏನ ಶರಗಧ ಆಧರತ ಕಷ ಅರಣಯ ಅತ ನವನ ಮಡತವ ಸಯಡಲ ವಡ ಸಟರಲ ಫರಸಟರ ಮಡಲ ಅತ ಇದ ಇದರಲಲ ಕವಲ ಆರಥಕ ಅಷಟ ಇಲಲ ಆರಥಕ ಬದಕನ ಜತಗ ಆರಗಯದ ಬದಕದ ಒದ ಆದರಶದ ಬದಕದ ಒದ ಆಧಯತಮದ ಬದಕ ಇದ ಇಲಲ ಏನತ ಅದರ ಅವರ ರತ ತನ ಬಳಯವದರ ಜತಗ ಪರಣ ಪಕಷಗ ಆಶರಯ ಕಟಟ ಪರಸರಕಕ ಕಟಟ ಒದ ಸಶಯಲ ರಸಪನಸಬಲಟ ಸಮಜಕ ಜವಬದರ ನರವಹಣ ಮಡ ಆರಥಕವಗ ಸದಢ ಆಗತತ ಇವತತ ತಪಗಳ ಇರತತವ,then there are crores crores of economic life in it in addition there is a life of health an ideal life a spiritual life what is it like here the farmer besides growing gives shelter to the animals and birds gives a social responsibility manages the social responsibility and becomes economically strong today there are heats
SandalWoodNewsStories_1_part8.wav,ಯಕ ನಮಮ ಹರಯರ ಕಟ ವದಯಗತ ಮಟ ವದಯ ಮಲ ಅತರ ಯಕ ಅತ ಅದರ ಬರ ನವ ಅದ ಕಲಘಟಟದಲಲ ಯವಗ ನಮಮ ಹರಯರ ನನನ ಮನನ ಹಳದದಲಲ ಇದ ಕಪಯಟರ ಬದಲಲ ಬದಲಲ ಇವತತ ಶತಶತಮನದದ ನಮಮ ಅಜಜ ಮತತ ಕಷತ ನಸತ ದರಭಕಷ ಅತ ಹಳದರ ಆದರ ಕಷ ವಷಯಕಕ ಬದಗ ಎಷಟ ಗರವಕಕ ಯಕದರ ಒದ ಸಶಯಲ ರಸಪನಸಬಲಟ ಸಮಜಕ ಜವಬದರ ನರವಹಣ ಮಡತತದ,why do our elders have a difference between meti vidya and koti vidya in the same period when did our elders say that this is not the case yesterday the computer has not arrived our grandfathers and farmers have said nasti durbhiksham for centuries
SandalWoodNewsStories_1_part9.wav,ಕ ಶಸಕರ ಸದದ ತದರ ಎದರಸವತ ಶಕತ ನಮಮ ದಹಕ ಶಕತ ಒತತಡದ ಬದಕ ಇದರದ ಅದನನ ಸಟಡ ಮಡದಗ ಗತತಗತತ ಬಟ ಅದನನ ಎದರಸವತ ದಹಕ ಶಕತ ನಮಗಲಲ ಬಳ ಏನಗ ಬಟಟವ ಸಣಣದದ ನಗಡ ಬದರ ಕಡಲ ನಮಗ ಟಯಬಲಟಸ ಬಕ ಅದಕಕ ಇಜಕಷನ ಬಕ ಒದ  ಖರಚಗತತ ಬದಗ ಇವತತ ಏನಯತ ಕರಣ ಅತ ಇನನ ಬರತಳ,k mla has the strength to face the problem our physical strength is a stressful life so we will know when we study it but we dont have the physical strength to face it what happened to bala we need tablets to give a small cold we need an injection for it it costs
SandalWoodNewsStories_1_part10.wav,ಇನನ ಏನಗತ ಇದ ಅತ ಅದರ ಈಗ ನವ ನಡ ಜರ ಡಸಟ ಇಲಲ ಎಸ ಅದ ನಮಮ ಸಹದರರ ಜತ ಮತಡತ ಇದವ ಇಷಟ ಹತತ ಮಚ ಈಗ ನಮಗ ಬಗಳರ ಭಗದಲಲ ಏನತರ ಕಪಪಳ ಜಲಲ ಅಲಲ ಬಸಲ ಬರಗಲ ದಳ ಹಗ ಅಲಲ ಬಡತನ ಬಡತನ ಅಲಲ ಒದ ನರಳಲಲ ನರ ಇಲಲ ಇಲಲ ಅದ ತಪಪ ಈಗ ಜಗತತಗ ಇವತತ ಗಧ ಕಡತಕಕದದ ಇಲಲದ ಮಲನಡನ ಸಷಟ ಮತತ ಮಡತ ಇದದವ ನಮಮ ಎಲಲ ನವ ಈಗ ಏನ ಅತವ ನಮಮದದ ಸಪರಣ ಒದ ಗಪ ಇದ ಬಸಲ ನಡನಲಲ ಒದ ಕಡ ಕಟಬಕ ಆ ಕಡ ಗಧದ ಕರಡ ಆಗರಬಕ ಆಮಲ ಇಟ ಇಸ ವರ ನಟ ಇಸ,now you see what is going on zero dust is here s is talking to our brothers before this time what is it like for you in bangalore koppal district there is drought there is dust you are creating and doing mountain land what are we now there is a whole group of us
