File Name,Transcription,English_Translation
SandalWoodNewsStories_1_part1.wav,ವಣ ಬೇಸಾಯದಲ್ಲಿ ಶ್ರೀಗಂಧ ಕೃಷಿ ಅತಿ ಕಡಿಮೆ ನೀರು ಇರತಕ್ಕಂಥವರು ಬೆಳೆಯಬಹುದು ಅಂದರೆ ನಿಮ್ಮ ಕಣ್ಣು ಕ್ಯಾಮೆರಾ ಕನೆಕ್ಟ್ ಆಯ್ತಪ್ಪ ಅಂದ್ರೆ ನಿಮ್ಮ ಆಧಾರ್ ನಂಬರ್ ತಂತ್ರಜ್ಞಾನ ಸಾಕಷ್ಟು ಡೆವಲಪ್ ಆಗುತ್ತೆ ಒಂದು ಕಿಲೋಮೀಟರ್ ಇವತ್ತು ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಕರ್ನಾಟಕದಲ್ಲಿ ಮಾಡ್ತಾ ಇದೆ ಎರಡು ದಿ ರೇಟ್ ಆಫ್ 5 ಲ್ಯಾಕ್ ರುಪೀಸ್ ಫಾರ್ ಕೆಜಿಎಫ್ ನಮಗೆ ಗೊತ್ತಿರಬೇಕು ಸ್ಯಾಂಡಲ್ವುಡ್ ಕಮರ್ಷಿಯಲ್ ನೇಮ್ ಸ್ಯಾಂಡಲ್ವುಡ್ ಅಂತೀವಿ ಆಸ್ಟ್ರೇಲಿಯಾದವರು ಸ್ಯಾಂಡಲ್ವುಡ್ ಅನ್ನುತ್ತಾರೆ ಸ್ಯಾಂಡಲ್ವುಡ್ ಬಟ್ ನಮ್ಮ ಸ್ಯಾಂಡಲ್ ವುಡ್ ಏನಿದೆಯಲ್ಲ ಅದು ಸ್ಯಾಂಡಲ್ ಆಲ್ಬಮ್ ಅಂತ ಆಸ್ಟ್ರೇಲಿಯಾದ ಸ್ಯಾಂಡಲ್ವುಡ್ ಇದೆ ಅದು ಸ್ಯಾಂಪಲ್ಸ್ ಕ್ರಿಕೆಟ್ ಬೇರೆ ಬೇರೆ ಭಾಗದಲ್ಲಿ ಸುಮಾರು ಹದಿನಾರು ಪ್ರಜಾತಿಯ ಶ್ರೀಗಂಧ ಇದೆ,sandalwood cultivation in wild farming can be grown by those who have very little water means your eye camera connect aythappa andre your aadhaar number technology will develop enough one kilometer today karnataka govt is doing in karnataka two the rate of 5 lac rupees for kgf we should know sandalwood commercial name sandalwood tv australians call it sandalwood sandalwood but what is our sandalwood? it is sandalwood. there is sandalwood from australia. it is samples cricket. there are about sixteen species of sandalwood in different parts.
SandalWoodNewsStories_1_part2.wav,ವಿಚ್ ಇಸ್ ದ ಐಡಿಯಲ್ ಕೆಮಿಕಲ್ ಕಾಂಬಿನೇಷನ್ ಆಫ್ ಸ್ಯಾಂಡಲ್ವುಡ್ ಅಂದ್ರೆ ಜಗತ್ತಿನಲ್ಲಿ ಉತ್ಕೃಷ್ಟ ಮಟ್ಟದ ಶ್ರೀಗಂಧ ಎಲ್ಲಿಯಾದರೂ ಸಿಗುತ್ತೆ ಅಂದ್ರೆ ಅದು ನಮ್ಮ ಕರ್ನಾಟಕದಲ್ಲಿ ಸಿಗುತ್ತೆ ಅಂದರೆ ಇಲ್ಲಿ ಇರತಕ್ಕಂತ ಭೌತಿಕ ಅಂಶಗಳ ಫ್ಯಾಕ್ಟರ್ಸ್ ಲೈಕ್ ವಾಟರ್ ಅಂಡ್ ಕ್ಲೈಮೇಟ್ ಭೌತಿಕ ಅಂಶಗಳನ್ನು ಮಣ್ಣು ನೀರು ಮತ್ತು ಅವುಗಳ ಜಗತ್ತಿನಲ್ಲೇ ಉತ್ಕೃಷ್ಟ ಮತ್ತು ಶ್ರೀಗಂಧ ಬೆಳೆಯಲಿಕ್ಕೆ ಅದ್ಭುತವಾದ ಪೂರಕ ವಾತಾವರಣ ಈ ನಮ್ಮ ಕನ್ನಡ ನಾಡಿನಲ್ಲಿದೆ ಹಿಂಗಾಗಿ ನಮ್ಮ ಕನ್ನಡ ನಾಡಿಗೆ ಕನ್ನಡ ನಾಡು ಗಂಧದ ನಾಡು ಚಂದನದ ಬೀಡು ಅಂತ ನಿನ್ನೆ ಮನೆ ಕರ್ದಿಲ್ಲ ಶತ್ರು ಶತಮಾನದಿಂದ ಆದಿಕವಿ ರನ್ನ ಪಂಪ ಹಳೆಗನ್ನಡ,"which is the ideal chemical combination of sandalwood? the best level of sandalwood can be found anywhere in the world. it can be found in our karnataka. physical factors like water and climate. for kannada land, kannada land is the land of sandalwood, the land of sandalwood, the enemy did not come home yesterday."
SandalWoodNewsStories_1_part3.wav,ಕನ್ನಡ ನಾಡು ಗಂಧದ ನಾಡು ಚಂದನದ ಬೀಡು ಸಾವಿರ ವರ್ಷದ ಹಿಂದೆ ಸಾವಿರಾರು ವರ್ಷದಿಂದ ಅಂದ್ರೆ ಅವರ ಜ್ಞಾನ ಅದ್ಭುತ ಅಂತ ನಾವು ಅಕ್ಷರ ಕಲಿತಿದ್ದೇವೆ ತಂತ್ರಜ್ಞಾನ ಬೆಳೆದಿದೆ ಸಂಪರ್ಕ ಸಾಧನಗಳಿರಲಿಲ್ಲ ಇವಾಗ ಎಷ್ಟು ಯಾವುದೇ ತಂತ್ರಜ್ಞಾನ ಇರಲಿಲ್ಲ ಆದರೆ ಜಗತ್ತಿನಲ್ಲಿ ಎಲ್ಲಾದರೂ ಅದ್ಭುತವಾದ ಗುಣಮಟ್ಟದ ಶ್ರೀಗಂಧ ಎಲ್ಲಿಯಾದರೂ ಸಿಗುತ್ತದೆ ಅಂದರೆ ಅದು ಕನ್ನಡ ನಾಡಿನಲ್ಲಿ ಸಿಗುತ್ತಾ ಅಂತ ಕಂತ ಜ್ಞಾನ ಅವರಿಗೆ ನೋಡಿ ನಮ್ಮಲ್ಲಿ ಬೇವು ಹಲೋ ಸೂರು ಬನ್ನಿ ಆಲ ಅರಳಿ ಅದ್ಬುತವಾಗಿದೆ ಪರಿಸರ ಕಸರ ಕೊಡುತ್ತದೆ ಅಂತರ್ಜಲ ವೃತ್ತಿ ಮಾಡಲು ದೊಡ್ಡ ಕೊಡುಗೆ ಇದೆ ಆದರೆ ಇದೊಂದು ಕುರುಚಲು ಸಸ್ಯ,"kannada land sandalwood land sandalwood field thousands of years ago andre's knowledge is amazing, we have learned the alphabet, technology has grown, there were no communication devices, now there was no technology, but anywhere in the world, sandalwood of amazing quality can be found anywhere, that is, it is available in kannada land. banni ala blooms and it is wonderful."
SandalWoodNewsStories_1_part4.wav,ಇದೊಂದು ಪರಾವಲಂಬಿ ಸಸ್ಯ ಇದೆ ಇದು ರಕ್ತಚಂದನ ಸ್ಯಾಂಡಲ್ವುಡ್ ಇವೆಲ್ಲ ಇದೆಲ್ಲ ಪರಾವಲಂಬಿ ಸಸ್ಯ ಡೌನ್ಲೋಡ್ ಬೇಸಿಕಲಿ ಸೆಮಿ ರೂಟ್ ಪ್ಯಾರಾಸೈಟ್ ಅಂತ ಹೇಳ್ತೀವಿ ಇಟ್ ಇಸ್ ಬೇಸಿಕಲಿ ಪ್ಯಾರಾಸಿಟಮಾಲ್ ಸಸ್ಯ ಇಟ್ ಇಸ್ ಬೇಸಿಕಲಿ ಸೆಮಿಸ್ಟರ್ ಸಸ್ಯ ಆದರೆ ಅಂತ ದೊಡ್ಡ ಮರಗಳು ಇದ್ದರೂ ಕೊಡಲು ಆದರೆ ಕನ್ನಡ ನಾಡು ಗಂಧದ ನಾಡು ಚಂದನದ ಬೀಡು ಅಂತೂ ಬಿಕಾಸ್ ಇಲ್ಲಿ ಇರತಕ್ಕಂತ ಜಗತ್ತಿನಲ್ಲೇ ಸಿಗದೇ ಇರತಕ್ಕಂತ ಅದ್ಭುತವಾದ ಭೌತಿಕ ಮಣ್ಣು ನೀರು ಮತ್ತು ಅವುಗಳ ಇಲ್ಲಿ,"this is a parasitic plant, this is raktchandan sandalwood, these are all these parasitic plants download, do you want semi-root parasite? soil water and their here"
SandalWoodNewsStories_1_part5.wav,"ಇಲ್ಲಿ ಬರತಕ್ಕಂತಹ ಉತ್ಕೃಷ್ಟ ಮಟ್ಟದ ಶ್ರೀಗಂಧ ಎಲ್ಲಿಯೂ ಬರೋದಿಲ್ಲ ನಾವು ಇತ್ತೀಚಿಗೆ ನಾನು ನೂರಾರು ಎಕರೆ ಶ್ರೀಗಂಧ ಬರ್ತೀನಿ ಮತ್ತು ಈಗ ನಮ್ಮ ಭಾಗದಲ್ಲಿ ಒಂದು 5,000 ಎಕರೆ ಇದೆ 5,000 ಬಿಗ್ಗೆಸ್ಟ್ ಸ್ಯಾಂಡಲ್ವುಡ್ ಕ್ಲಸ್ಟರ್ ಕೊಪ್ಪಳ ಡಿಸ್ಟ್ರಿಕ್ಟ್ ಅಂದ್ರೆ ಇಂಡಿಯಾ ಬಿಗ್ಗೆಸ್ಟ್ ಸ್ಯಾಂಡಲ್ವುಡ್ ಕ್ಲಸ್ಟರ್ ಇದು ಸುಮಾರು ಮೂರು ಜನ ಪ್ರೊಫೆಸರ್ ಕರ್ನಾಟಕದವರು ಆಂಧ್ರದವರು ತಮಿಳುನಾಡು ಇಲ್ಲಿ ನನ್ನ ಫಾರ್ಮ್ ಪಿಎಚ್ಡಿ ಮಾಡಾಕತ್ತಿರಿ","we have recently planted hundreds of acres of sandalwood here and now we have 5,000 acres in our area."
SandalWoodNewsStories_1_part6.wav,"ಕಾಡು ನಿರ್ಮಾಣ ಆಗ್ತಾ ಇದೆ ನಮ್ಮ ಭಾಗದ ಕೊಪ್ಪಳ ಜಿಲ್ಲೆ ಅಂದ್ರೆ ಸಾಧಾರಣ ಅಂತ ತಿಳ್ಕೊಂಡಿದ್ದೀರಾ ಪ್ರಸಾರ ಆಗುತ್ತೆ ಇಲ್ಲೇ ಮೌಲ್ಯವರ್ಧನೆ ಆಗುತ್ತೆ ಇವತ್ತು ಗುಣಮಟ್ಟದ ಶ್ರೀಗಂಧದಿಂದ ಸಾಬೂನುಗಳು ಕಾಸ್ಮೆಟಿಕ್ಸ್ ಪರ್ಫ್ಯೂಮ್ಸ್ ಎಲ್ಲಾ ಎಲ್ಲಾ ಉತ್ಪನ್ನಗಳು ಇಲ್ಲಿ ಉತ್ಪಾದನೆಯಾಗುತ್ತದೆ ಇಡೀ ಜಗತ್ತಿಗೆ ಮಾರುಕಟ್ಟೆ ಕೊಪ್ಪಳ ಕೊಪ್ಪಳ ಆಗುತ್ತದೆ ಅಷ್ಟು ಶಕ್ತಿ ಇದೆ ನಾವು ಜಗತ್ತಿಗೆ ದಾಳಿಂಬೆಯನ್ನು ರಫ್ತು ಮಾಡಿ ಇಡೀ ಜಗತ್ತಿಗೆ ಮಾಡಿದಂತ ಮಣ್ಣಿದು ಇದು ಎಲ್ಲಾ ನೋಡಿದಾಗ ಇದು ದೊಡ್ಡ ದೊಡ್ಡ ಯಶೋಗಾಥೆಗಳು ಹಿಂಗಾಗಿ ಇವತ್ತು ಇಡೀ ಜಗತ್ತಿಗೆ ಇವತ್ತು 5000 ಎಕರೆ ಇವತ್ತು ನಮ್ಮ ಕೊಪ್ಪಳ ಜಿಲ್ಲೆಯಲ್ಲಿ ಆಗ್ತಾ ಇದೆ 15,000 ಕೋಟಿ ಕಚ್ಚಾ ಪದಾರ್ಥ ಮುಂದಿನ ದಿನದಲ್ಲಿ ಕೊಡಬಲ್ಲವನು ಆ ಶಕ್ತಿ ನಮ್ಮ ಈ ನೆಲಕ್ಕೆ 15,000 ಕೋಟಿ ಪ್ರಾಡಕ್ಟ್","koppal district of our part is under construction, do you understand that it is broadcasted, value addition is done here, today quality sandalwood soaps, cosmetics, perfumes, all products are produced here. big success stories are behind us today for the whole world today 5000 acres are growing in our koppal district 15,000 crores of raw material in the next day the one who can give that power 15,000 crores product for this land of ours"
SandalWoodNewsStories_1_part7.wav,ಆಮೇಲೆ ಕೋಟಿ ಕೋಟಿ ಅದರಲ್ಲಿ ಆರ್ಥಿಕ ಬದುಕಿದೆ ಆರ್ಥಿಕ ಬದುಕಿದೆ ಆರ್ಥಿಕ ಬದುಕು ನಮ್ಮ ಒಂದು ಸ್ವಾಭಿಮಾನದ ಬದುಕು ಒಂದು ಸದೃಢ ಬದುಕು ಒಂದು ಗುಣಮಟ್ಟದ ಬದುಕಿಗೆ ಬೇಕು ಆ ವಾಸ್ತವ ಪ್ರಜ್ಞೆ ನಮಗೆ ಇರಬೇಕು ಆದರೆ ಇವತ್ತು ಏನು ಶ್ರೀಗಂಧ ಆಧಾರಿತ ಕೃಷಿ ಅರಣ್ಯ ಅಂತ ನಾವೇನ್ ಮಾಡ್ತೀವಿ ಸ್ಯಾಂಡಲ್ ವುಡ್ ಸೆಂಟ್ರಲ್ ಫಾರೆಸ್ಟ್ರಿ ಮಾಡೆಲ್ ಅಂತ ಇದೆ ಇದರಲ್ಲಿ ಕೇವಲ ಆರ್ಥಿಕ ಅಷ್ಟೇ ಇಲ್ಲ ಆರ್ಥಿಕ ಬದುಕಿನ ಜೊತೆಗೆ ಆರೋಗ್ಯದ ಬದುಕಿದೆ ಒಂದು ಆದರ್ಶದ ಬದುಕಿದೆ ಒಂದು ಆಧ್ಯಾತ್ಮದ ಬದುಕು ಇದೆ ಇಲ್ಲಿ ಏನಂತ ಅಂದ್ರೆ ಅವರ ರೈತ ತಾನು ಬೆಳೆಯುವುದರ ಜೊತೆಗೆ ಪ್ರಾಣಿ ಪಕ್ಷಿಗೆ ಆಶ್ರಯ ಕೊಟ್ಟು ಪರಿಸರಕ್ಕೆ ಕೊಟ್ಟು ಒಂದು ಸೋಶಿಯಲ್ ರೆಸ್ಪಾನ್ಸಿಬಿಲಿಟಿ ಸಾಮಾಜಿಕ ಜವಾಬ್ದಾರಿ ನಿರ್ವಹಣೆ ಮಾಡಿ ಆರ್ಥಿಕವಾಗಿ ಸದೃಢ ಆಗುತ್ತ ಇವತ್ತು ತಾಪಗಳು ಇರುತ್ತವೆ,"then there are crores crores of economic life in it. in addition, there is a life of health, an ideal life, a spiritual life, what is it like here, the farmer, besides growing, gives shelter to the animals and birds, gives a social responsibility, manages the social responsibility, and becomes economically strong, today there are heats."
SandalWoodNewsStories_1_part8.wav,ಯಾಕ್ ನಮ್ಮ ಹಿರಿಯರು ಕೋಟಿ ವಿದ್ಯೆಗಿಂತ ಮೇಟಿ ವಿದ್ಯೆ ಮೇಲು ಅಂತರ ಯಾಕೆ ಅಂತ ಅಂದ್ರೆ ಬೇರೆ ನೀವು ಅದೇ ಕಾಲಘಟ್ಟದಲ್ಲಿ ಯಾವಾಗ ನಮ್ಮ ಹಿರಿಯರು ನೆನ್ನೆ ಮೊನ್ನೆ ಹೇಳಿದ್ದಲ್ಲ ಇದು ಕಂಪ್ಯೂಟರ್ ಬಂದಿಲ್ಲ ಬಂದಿಲ್ಲ ಇವತ್ತು ಶತಶತಮಾನದಿಂದ ನಮ್ಮ ಅಜ್ಜ ಮತ್ತು ಕೃಷಿತೋ ನಾಸ್ತಿ ದುರ್ಭಿಕ್ಷಂ ಅಂತ ಹೇಳಿದರು ಆದರೆ ಕೃಷಿ ವಿಷಯಕ್ಕೆ ಬಂದಾಗ ಎಷ್ಟು ಗೌರವಕ್ಕೆ ಯಾಕೆಂದರೆ ಒಂದು ಸೋಶಿಯಲ್ ರೆಸ್ಪಾನ್ಸಿಬಿಲಿಟಿ ಸಾಮಾಜಿಕ ಜವಾಬ್ದಾರಿ ನಿರ್ವಹಣೆ ಮಾಡುತ್ತದೆ,"why do our elders have a difference between meti vidya and koti vidya? in the same period, when did our elders say that this is not the case yesterday, the computer has not arrived. our grandfathers and farmers have said nasti durbhiksham for centuries."
SandalWoodNewsStories_1_part9.wav,ಕೆ ಶಾಸಕರು ಸಿದ್ದ ತೊಂದರೆ ಎದುರಿಸುವಂತ ಶಕ್ತಿ ನಮ್ಮ ದೈಹಿಕ ಶಕ್ತಿ ಒತ್ತಡದ ಬದುಕು ಇದರಿಂದ ಅದನ್ನು ಸ್ಟಡಿ ಮಾಡ್ದಾಗ ಗೊತ್ತಾಗುತ್ತೆ ಬಟ್ ಅದನ್ನ ಎದುರಿಸುವಂತ ದೈಹಿಕ ಶಕ್ತಿ ನಮಗಿಲ್ಲ ಬಾಳ ಏನಾಗಿ ಬಿಟ್ಟಿವಿ ಸಣ್ಣದೊಂದು ನೆಗಡಿ ಬಂದರು ಕೊಡಲು ನಮಗೆ ಟ್ಯಾಬ್ಲೆಟ್ಸ್ ಬೇಕು ಅದಕ್ಕೆ ಇಂಜೆಕ್ಷನ್ ಬೇಕು ಒಂದು 5000 ಖರ್ಚಾಗುತ್ತೆ ಬಂದಾಗ ಇವತ್ತ್ ಏನಾಯ್ತು ಕೋರೋಣ ಅಂತ ಇನ್ನೂ ಬರ್ತಾಳೆ,"k mla has the strength to face the problem, our physical strength is a stressful life, so we will know when we study it, but we don't have the physical strength to face it, what happened to bala, we need tablets to give a small cold, we need an injection for it, it costs 5000."
SandalWoodNewsStories_1_part10.wav,ಇನ್ನು ಏನಾಗ್ತಾ ಇದೆ ಅಂತ ಅಂದ್ರೆ ಈಗ ನೀವು ನೋಡಿ ಜೀರೋ ಡಸ್ಟ್ ಇಲ್ಲಿ ಎಸ್ ಅದು ನಮ್ಮ ಸಹೋದರರ ಜೊತೆ ಮಾತಾಡ್ತಾ ಇದ್ವಿ ಇಷ್ಟು ಹೊತ್ತು ಮುಂಚೆ ಈಗ ನಿಮಗೆ ಬೆಂಗಳೂರು ಭಾಗದಲ್ಲಿ ಏನಂತೀರಿ ಕೊಪ್ಪಳ ಜಿಲ್ಲೆ ಅಲ್ಲಿ ಬಿಸಲು ಬರಗಾಲ ದೂಳ ಹೋಗೆ ಅಲ್ಲಿ ಬಡತನ ಬಡತನ ಅಲ್ಲಿ ಒಂದು ನೆರಳಿಲ್ಲ ನೀರು ಇಲ್ಲ ಇಲ್ಲ ಅದು ತಪ್ಪು ಈಗ ಜಗತ್ತಿಗೆ ಇವತ್ತು ಗಂಧ ಕೊಡತಕ್ಕದ್ದು ಇಲ್ಲೊಂದು ಮಲೆನಾಡಿನ ಸೃಷ್ಟಿ ಮತ್ತು ಮಾಡ್ತಾ ಇದ್ದೀವಿ ನಮ್ಮ ಎಲ್ಲಾ ನಾವು ಈಗ ಏನು ಅಂತೀವಿ ನಮ್ಮದೊಂದು ಸಂಪೂರ್ಣ ಒಂದು ಗುಂಪು ಇದೆ ಬಿಸಿಲು ನಾಡಿನಲ್ಲಿ ಒಂದು ಕಾಡು ಕಟ್ಬೇಕು ಆ ಕಾಡು ಗಂಧದ ಕಾರ್ಡ್ ಆಗಿರಬೇಕು ಆಮೇಲೆ ಇಟ್ ಇಸ್ ವೆರಿ ನೆಟ್ ಇಸ್,"now you see what is going on, zero dust is here, s is talking to our brothers. before this time, what is it like for you in bangalore, koppal district? there is drought, there is dust. you are creating and doing mountain land. what are we now? there is a whole group of us."
